"","Estimate"
"937",108311.833763119
"938",159679.815984663
"939",42453.1346868022
"940",42138.673194478
"941",37334.7979840893
"942",52033.1546669707
"943",24494.5760911481
"944",78921.2033743462
"945",38211.3459080227
"946",61032.2644200829
"947",60866.1725531434
"948",90420.8045287086
"949",73912.4529350098
"950",145208.482829656
"951",84483.4003552235
"952",32624.7828541508
"953",52242.9955256392
"954",77655.6483312027
"955",51363.1206272418
"956",44224.833704605
"957",34136.9730683838
"958",153824.594417183
"959",106019.355464893
"960",110946.141835737
"961",76557.5614694642
"962",212038.220555999
"963",107924.054982179
"964",82036.4650934661
"965",105049.250504317
"966",169315.378121188
"967",32983.2407716679
"968",41608.1039758918
"969",37996.3960624098
"970",62847.0144573118
"971",79106.8727077683
"972",124737.715988387
"973",145333.607064328
"974",50678.6127727139
"975",85047.7884271089
"976",65627.7069275188
"977",175405.315971309
"978",65102.1228888951
"979",151608.992489287
"980",94302.1875090051
"981",170254.839867684
"982",149501.766852261
"983",134092.776589124
"984",92930.3464901375
"985",81787.1928271461
"986",41944.4354140577
"987",42344.4613652398
"988",59431.6840831728
"989",97755.7390198694
"990",147806.815965051
"991",143299.567857967
"992",27397.9603373384
"993",37438.0486432333
"994",120440.777298331
"995",123762.419161774
"996",166512.218682358
"997",133118.872504705
"998",58777.3276998588
"999",84504.424247938
"1000",92555.6345623802
"1001",68875.8418715395
"1002",84288.8305983437
"1003",99458.1990335429
"1004",164490.041776922
"1005",79951.2608945223
"1006",235935.295434425
"1007",82153.2464010822
"1008",59101.6708654515
"1009",74132.2227169843
"1010",56007.3970077921
"1011",38181.5591625858
"1012",48228.7186777419
"1013",64775.3720744883
"1014",143166.25657684
"1015",97250.995493677
"1016",95151.2812993211
"1017",40591.0170343372
"1018",217887.129505315
"1019",77952.2546507754
"1020",99902.9720989015
"1021",188292.438685808
"1022",102610.000726363
"1023",90003.7115060734
"1024",25322.649544132
"1025",58276.0008761785
"1026",125112.573756998
"1027",121396.363264184
"1028",124968.835012453
"1029",45562.2897597253
"1030",30220.7301185569
"1031",97878.2188695131
"1032",64808.8884919075
"1033",78549.5954308523
"1034",66586.0846517256
"1035",42910.0822330159
"1036",138952.733812373
"1037",83155.8829024596
"1038",85331.2593218629
"1039",113353.614066452
"1040",50192.2317490489
"1041",31000.01090002
"1042",82672.8759290754
"1043",44677.1395319014
"1044",46121.8632917256
"1045",77190.3601274673
"1046",13349.6193903232
"1047",88931.5164497249
"1048",124995.247729645
"1049",68429.3446236953
"1050",30745.0492995275
"1051",49342.457814619
"1052",180443.49885557
"1053",129105.920338374
"1054",27101.5067389647
"1055",50182.5955069423
"1056",22203.6126429428
"1057",64183.3895757838
"1058",29315.4951870934
"1059",141515.600771665
"1060",116698.429668699
"1061",50829.9495851409
"1062",65170.6599263832
"1063",62067.6548562912
"1064",266897.080386856
"1065",66942.1813930214
"1066",166076.234324858
"1067",55061.4891662071
"1068",88060.4728698639
"1069",82955.8057040954
"1070",52142.471967323
"1071",72861.3302098649
"1072",233667.778502155
"1073",99071.6056047141
"1074",73918.3340074326
"1075",66767.3734926515
"1076",187486.411669847
"1077",65889.6201558943
"1078",75455.8659058756
"1079",178926.046128727
"1080",73088.6283264015
"1081",111899.871681655
"1082",130497.222253116
"1083",52263.9810629261
"1084",104549.207142444
"1085",101950.577540574
"1086",83110.3319482616
"1087",85558.0088047448
"1088",337790.993275327
"1089",140042.908686922
"1090",42311.5228425862
"1091",99009.3720082607
"1092",75053.0947546412
"1093",143855.497619877
"1094",76762.7315275841
"1095",33721.0850849037
"1096",41317.4360438358
"1097",78769.8624023793
"1098",110369.602397152
"1099",73508.5878623988
"1100",125293.606138176
"1101",50366.9541029573
"1102",60191.7246256985
"1103",110161.179687299
"1104",34550.239691064
"1105",27217.3601906092
"1106",120431.804964163
"1107",120104.173088901
"1108",98505.5524395542
"1109",97474.8307613515
"1110",84424.5486574964
"1111",41053.4713521322
"1112",43827.4987684933
"1113",39460.2285439123
"1114",102815.320203522
"1115",31087.5933983838
"1116",32013.1214678234
"1117",99040.1270531063
"1118",72354.6688418427
"1119",98058.7602893803
"1120",94442.0727922933
"1121",58404.9455419718
"1122",91054.2190304548
"1123",105854.987303353
"1124",51354.0720776674
"1125",46731.985921532
"1126",32360.4368189558
"1127",56732.9174410154
"1128",115468.653411016
"1129",69985.3039573256
"1130",106085.084571871
"1131",23110.5078215649
"1132",122428.180042905
"1133",22461.9211951683
"1134",67025.5150465784
"1135",94122.1082353234
"1136",50127.022673867
"1137",55251.1424101978
"1138",76100.4413547089
"1139",140735.522721649
"1140",76735.6810741408
"1141",54577.1715982517
"1142",37409.6290981517
"1143",53210.2135363251
"1144",64006.3598419327
"1145",35547.7669757997
"1146",43503.4232791665
"1147",116263.655312948
"1148",124114.756849384
"1149",42632.2327768233
"1150",30134.5572847114
"1151",96936.5663538324
"1152",77276.5773183199
"1153",38978.6270015254
"1154",110259.386494984
"1155",36707.4925596838
"1156",81512.9354721127
"1157",79827.4903384731
"1158",66508.1729395671
"1159",112287.825216637
"1160",132545.799396455
"1161",81255.3842938771
"1162",56271.078193452
"1163",36658.7617445546
"1164",23333.0509570512
"1165",105987.118849586
"1166",107212.256966058
"1167",51843.2878267809
"1168",32048.1450665512
"1169",58197.1737767825
"1170",76155.2007022994
"1171",100553.445109145
"1172",362426.716509019
"1173",12753.8666644338
"1174",65738.4994148642
"1175",44503.8814299131
"1176",65575.7040572607
"1177",55597.3118490841
"1178",49243.0199132509
"1179",46860.8931269711
"1180",44745.1412964527
"1181",156088.860697491
"1182",58664.8694345681
"1183",100296.216690489
"1184",58033.7990224126
"1185",64123.2293259381
"1186",250006.232329883
"1187",123756.326479596
"1188",153373.947948331
"1189",27780.5261859859
"1190",121025.136229872
"1191",40092.4203706625
"1192",80948.3280962216
"1193",99562.6789232232
"1194",136442.632279797
"1195",39902.6796774712
"1196",224969.258005427
"1197",95565.2140100719
"1198",97407.8328910065
"1199",35189.837310127
"1200",82744.6311640654
"1201",48475.4379966348
"1202",33392.6088268366
"1203",40141.4658753962
"1204",59750.7251053295
"1205",92418.894571334
"1206",71898.8929527429
"1207",43814.9825288056
"1208",42186.8364741975
"1209",32913.6016383756
"1210",68717.1713920645
"1211",163322.637796485
"1212",53603.04066194
"1213",173767.871569534
"1214",67513.9896634541
"1215",163565.198529279
"1216",134579.397950184
"1217",88102.6339736189
"1218",49684.412031321
"1219",77097.1373469972
"1220",151453.447704045
"1221",24572.4873257245
"1222",119121.530295345
"1223",32633.8628072627
"1224",42498.2942814065
"1225",46189.32124417
"1226",94104.7446570275
"1227",78182.0054603954
"1228",78453.1575194287
"1229",133883.407379903
"1230",83423.6248627138
"1231",98577.055351914
"1232",16587.5054458032
"1233",131515.024174862
"1234",62740.6892176939
"1235",69146.0966055367
"1236",74299.3712232883
"1237",80361.5327182753
"1238",42368.5595732835
"1239",150485.660543181
"1240",181380.133905354
"1241",65094.2045662527
"1242",75074.3061379086
"1243",43597.5872404934
"1244",66916.7190098703
"1245",62399.9097949387
"1246",227177.664587782
"1247",60552.6567449756
"1248",33728.8384781055
"1249",79901.3463746882
"1250",47368.1778842407
"1251",214925.238399061
"1252",24379.75362704
"1253",180457.735348199
"1254",62783.6203275331
"1255",82003.1268547552
"1256",119173.275382219
"1257",99160.7056315922
"1258",93127.9613943298
"1259",180372.142407426
"1260",72959.3737208851
"1261",32766.7648988883
"1262",157495.268604233
"1263",71710.4634558803
"1264",64216.6907140351
"1265",54356.9459948242
"1266",57313.1974082464
"1267",153435.842248385
"1268",68085.0988504655
"1269",48868.1799098686
"1270",183257.211353959
"1271",66096.4089214419
"1272",51959.9805126766
"1273",22016.477033325
"1274",64395.7296669777
"1275",57558.7399427188
"1276",42085.4304370531
"1277",149459.007779039
"1278",38035.5676421936
"1279",67212.8355220697
"1280",34492.6611902084
"1281",115390.178961371
"1282",81341.4798891985
"1283",36139.5911690709
